"SETTING_ID","MEASUREMENT_NO","PURPOSE_CODE","MEASUREMENT_DATE","PLOT","TAG_ID","AZIMUTH","DISTANCE","SET_CN","PLOT_CN","TREE_CN","LIVE_DEAD","SPECIES_SYMBOL","DIAMETER"
"01140102050006",3,"TP","08/02/1998",310,78,32,NA,488423010259,"488436010259","3026177010259","L","PSME",0.2
"01140109010001",3,"CP","08/01/1997",110,101,NA,2.2,489097010259,"489098010259","3031538010259","D","PICO",7.5
"01140109010001",3,"TP","08/02/1997",430,301,NA,2.6,489110010259,"489143010259","3031804010259","L","LAOC",15.8
"01140109010001",3,"TP","08/02/1997",210,101,NA,1,489110010259,"489111010259","3031607010259","L","LAOC",18.2
"01140109010001",3,"TP","08/02/1997",310,101,NA,0.5,489110010259,"489123010259","3031683010259","L","LAOC",15.4
"01140120010011",4,"TP","08/02/1998",410,119,NA,1.9,489675010259,"489700010259","3037891010259","L","LAOC",0.7
"01140120010011",4,"TP","08/02/1998",220,206,NA,17.4,489675010259,"489680010259","3037662010259","L","LAOC",3.7
"01140120010011",4,"TP","08/02/1998",330,316,NA,33.8,489675010259,"489696010259","3037842010259","L","LAOC",5.6
"01140120010011",4,"TP","08/02/1998",310,101,NA,0.8,489675010259,"489688010259","3037725010259","L","PSME",2.7
"01140316020106",4,"TP","05/02/2002",310,101,NA,7,520585010259,"520598010259","3293114010259","L","PSME",5.2
"01140343020046",4,"TP","08/02/1998",410,107,167,NA,491390010259,"491415010259","3051981010259","L","ABLA",6.7
"01140504030002",3,"TP","09/02/1998",310,143,NA,NA,493032010259,"493045010259","3066521010259","L","THPL",1.9
"01140504030002",3,"TP","09/02/1998",310,144,NA,NA,493032010259,"493045010259","3066522010259","L","THPL",0.7
"01140504030002",3,"TP","09/02/1998",310,145,NA,NA,493032010259,"493045010259","3066523010259","L","THPL",0.7
"01140504030002",3,"TP","09/02/1998",310,146,NA,NA,493032010259,"493045010259","3066524010259","L","THPL",0.5
"01140504030002",3,"TP","09/02/1998",310,601,NA,NA,493032010259,"493045010259","3066538010259","L","THPL",0.2
"01140528020011",4,"TP","05/02/2001",401,101,NA,1.6,493432010259,"493457010259","3070159010259","L","PSME",3.7
"01140579030009",4,"TP","06/02/1999",230,313,NA,NA,495493010259,"495502010259","3089453010259","D","PICO",3.6
"01140579030009",4,"TP","06/02/1999",230,315,NA,NA,495493010259,"495502010259","3089455010259","D","LAOC",1.8
"01140588050005",3,"TP","10/02/1997",310,101,NA,2.2,496180010259,"496193010259","3093647010259","D","PICO",9.3
"01140704030012",4,"TP","10/02/1998",410,701,NA,2.6,654259010259,"654284010259","4289439010259","D","PIMO3",1.1
"01140704030012",4,"TP","10/02/1998",320,201,NA,1.6,654259010259,"654276010259","4289264010259","L","LAOC",6.2
